session_id,customer_id,session_date,session_hour,device,browser,traffic_source,landing_page,pages_viewed,time_on_site_seconds,bounced,converted
S1000043,15714,2024-08-20,8,Mobile,Safari,Referral,/products,1,51,True,False
S1000044,,2024-07-11,20,Mobile,Chrome,Organic Search,/products,2,97,False,False
S1000045,16099,2024-06-29,3,Desktop,Edge,Organic Search,/category,1,27,True,False
S1000046,11773,2024-08-28,12,Mobile,Edge,Organic Search,/sale,1,55,True,False
S1000047,18318,2024-07-26,15,Mobile,Chrome,Direct,/category,1,101,True,False
S1000048,,2024-05-20,10,Mobile,Firefox,Paid Search,/new-arrivals,1,71,True,False
S1000049,,2024-01-11,10,Mobile,Firefox,Direct,/sale,1,87,True,False
S1000050,16680,2024-02-29,18,Desktop,Chrome,Direct,/new-arrivals,1,32,True,False
S1000051,14937,2024-10-15,6,Desktop,Chrome,Social,/new-arrivals,2,206,False,False
S1000052,19480,2024-04-07,6,Desktop,Safari,Social,/category,1,88,True,False
S1000053,,2024-07-27,15,Tablet,Safari,Organic Search,/sale,1,67,True,False
S1000054,10101,2024-05-20,19,Mobile,Chrome,Social,/new-arrivals,1,114,True,False
S1000055,,2024-02-03,14,Mobile,Chrome,Social,/products,1,54,True,False
S1000056,12261,2024-05-13,2,Desktop,Chrome,Paid Search,/new-arrivals,1,94,True,False
S1000057,,2024-04-17,20,Mobile,Chrome,Organic Search,/,1,60,True,False
S1000058,19069,2024-09-19,6,Mobile,Chrome,Paid Search,/,1,56,True,False
S1000059,17597,2024-05-04,7,Mobile,Safari,Organic Search,/,1,82,True,False
S1000060,13046,2024-06-03,21,Mobile,Safari,Direct,/new-arrivals,1,94,True,False
S1000061,15028,2024-06-15,1,Desktop,Chrome,Paid Search,/,1,50,True,False
S1000062,12208,2024-08-18,11,Mobile,Edge,Organic Search,/sale,1,105,True,False
S1000063,13560,2024-05-05,17,Mobile,Chrome,Paid Search,/products,2,159,False,False
S1000064,,2024-05-16,21,Mobile,Safari,Organic Search,/products,1,20,True,False
S1000065,,2024-02-03,19,Mobile,Chrome,Paid Search,/sale,1,119,True,False
S1000066,11540,2024-08-06,17,Mobile,Chrome,Email,/sale,1,67,True,False
S1000067,13012,2024-07-14,18,Desktop,Chrome,Referral,/products,1,90,True,False
S1000068,13264,2024-04-15,12,Mobile,Firefox,Paid Search,/,2,67,False,False
S1000069,,2024-05-17,8,Mobile,Edge,Paid Search,/sale,1,32,True,False
S1000070,12174,2024-06-26,15,Mobile,Firefox,Social,/,1,57,True,False
S1000071,14047,2024-09-26,16,Mobile,Chrome,Referral,/category,1,83,True,False
S1000072,19457,2024-04-09,21,Mobile,Chrome,Organic Search,/products,1,65,True,False
S1000073,11140,2024-02-21,1,Mobile,Safari,Referral,/products,1,67,True,False
S1000074,11766,2024-09-17,18,Mobile,Chrome,Organic Search,/,1,92,True,False
S1000075,,2024-10-30,17,Mobile,Chrome,Organic Search,/products,1,71,True,False
S1000076,12050,2024-09-20,16,Desktop,Safari,Organic Search,/,1,83,True,False
S1000077,14602,2024-09-24,6,Mobile,Edge,Organic Search,/products,1,46,True,False
S1000078,10191,2024-08-05,23,Mobile,Chrome,Paid Search,/sale,2,106,False,False
S1000079,,2024-04-18,8,Mobile,Chrome,Referral,/sale,1,56,True,False
S1000080,,2024-10-08,6,Mobile,Chrome,Email,/new-arrivals,1,103,True,False
S1000081,18327,2024-05-14,14,Mobile,Edge,Paid Search,/products,3,183,False,False
S1000082,,2024-10-19,9,Mobile,Firefox,Organic Search,/sale,1,20,True,False
S1000083,,2024-05-11,18,Mobile,Chrome,Social,/products,1,113,True,False
S1000084,,2024-01-11,21,Desktop,Chrome,Direct,/category,4,444,False,True
S1000085,11113,2024-03-03,16,Desktop,Chrome,Paid Search,/new-arrivals,3,77,False,False
S1000086,,2024-01-07,18,Desktop,Chrome,Direct,/new-arrivals,1,35,True,False
S1000087,13137,2024-04-19,13,Mobile,Chrome,Direct,/category,1,25,True,False
S1000088,12616,2024-01-11,12,Mobile,Firefox,Direct,/,1,78,True,False
S1000089,,2024-03-06,5,Mobile,Edge,Email,/,1,81,True,False
S1000090,,2024-02-22,18,Mobile,Chrome,Email,/category,3,224,False,False
S1000091,,2024-05-08,16,Mobile,Firefox,Direct,/,1,84,True,False
S1000092,,2024-04-24,16,Desktop,Chrome,Social,/new-arrivals,1,98,True,False
S1000093,,2024-07-01,9,Mobile,Chrome,Organic Search,/,1,98,True,False
S1000094,,2024-05-05,16,Mobile,Firefox,Paid Search,/new-arrivals,1,85,True,False
S1000095,12937,2024-01-25,11,Mobile,Chrome,Direct,/category,1,40,True,False
S1000096,,2024-08-09,19,Mobile,Safari,Direct,/new-arrivals,1,25,True,False
S1000097,,2024-07-31,2,Tablet,Chrome,Organic Search,/new-arrivals,1,71,True,False
S1000098,17736,2024-02-17,20,Mobile,Chrome,Organic Search,/category,1,113,True,False
S1000099,14056,2024-09-15,18,Tablet,Chrome,Social,/products,1,103,True,False
S1000100,,2024-06-18,11,Mobile,Chrome,Direct,/category,1,95,True,False
S1000101,,2024-02-21,8,Tablet,Edge,Referral,/sale,1,47,True,False
S1000102,11609,2024-07-27,20,Desktop,Chrome,Referral,/products,1,111,True,False
S1000103,14602,2024-09-26,7,Mobile,Chrome,Email,/sale,1,118,True,False
S1000104,,2024-09-12,9,Mobile,Chrome,Paid Search,/products,3,266,False,False
S1000105,,2024-05-20,13,Mobile,Chrome,Paid Search,/products,1,50,True,False
S1000106,15553,2024-09-02,18,Desktop,Chrome,Organic Search,/products,1,71,True,False
S1000107,,2024-07-31,15,Tablet,Other,Organic Search,/category,1,29,True,False
S1000108,17717,2024-05-17,22,Mobile,Safari,Paid Search,/new-arrivals,1,102,True,False
S1000109,,2024-01-11,18,Tablet,Chrome,Organic Search,/new-arrivals,1,96,True,False
S1000110,19266,2024-02-08,19,Tablet,Chrome,Direct,/,1,63,True,False
S1000111,13009,2024-09-11,13,Desktop,Safari,Organic Search,/,1,37,True,False
S1000112,18477,2024-07-23,16,Tablet,Safari,Organic Search,/new-arrivals,3,210,False,False
S1000113,,2024-03-17,12,Mobile,Firefox,Paid Search,/products,1,33,True,False
S1000114,,2024-02-14,15,Mobile,Chrome,Paid Search,/sale,1,109,True,False
S1000115,14649,2024-04-23,20,Tablet,Chrome,Direct,/,1,51,True,False
S1000116,,2024-02-27,23,Mobile,Safari,Organic Search,/sale,1,96,True,False
S1000117,14522,2024-01-17,4,Tablet,Safari,Paid Search,/sale,1,42,True,False
S1000118,,2024-08-19,14,Desktop,Safari,Organic Search,/category,1,48,True,False
S1000119,19783,2024-08-04,20,Tablet,Chrome,Direct,/sale,1,78,True,False
S1000120,18354,2024-08-11,3,Mobile,Chrome,Organic Search,/category,2,137,False,False
S1000121,15157,2024-07-07,6,Desktop,Chrome,Organic Search,/products,1,49,True,False
S1000122,19264,2024-08-08,14,Desktop,Firefox,Organic Search,/new-arrivals,1,52,True,False
S1000123,10632,2024-06-25,14,Mobile,Other,Direct,/new-arrivals,1,112,True,False
S1000124,14715,2024-01-08,22,Mobile,Edge,Paid Search,/new-arrivals,1,83,True,False
S1000125,16471,2024-01-14,10,Mobile,Chrome,Organic Search,/,1,76,True,False
S1000126,13695,2024-05-16,18,Desktop,Chrome,Direct,/category,2,86,False,False
S1000127,13382,2024-07-14,14,Tablet,Chrome,Paid Search,/products,1,49,True,False
S1000128,12857,2024-05-16,10,Desktop,Chrome,Organic Search,/category,1,113,True,False
S1000129,,2024-06-16,11,Mobile,Chrome,Organic Search,/sale,1,119,True,False
S1000130,,2024-04-24,19,Desktop,Chrome,Organic Search,/category,1,39,True,False
S1000131,,2024-04-20,15,Mobile,Chrome,Direct,/category,1,37,True,False
S1000132,16419,2024-08-15,14,Desktop,Safari,Organic Search,/new-arrivals,1,116,True,False
S1000133,14069,2024-03-14,19,Mobile,Chrome,Referral,/products,1,62,True,False
S1000134,,2024-05-01,15,Mobile,Chrome,Paid Search,/category,6,493,False,False
S1000135,,2024-09-09,20,Mobile,Chrome,Paid Search,/,1,103,True,False
S1000136,16792,2024-01-31,10,Mobile,Chrome,Paid Search,/category,1,68,True,False
S1000137,12056,2024-05-16,9,Desktop,Chrome,Direct,/sale,1,55,True,False
S1000138,17171,2024-06-19,16,Desktop,Chrome,Organic Search,/,2,44,False,False
S1000139,13830,2024-09-25,9,Desktop,Chrome,Paid Search,/products,1,27,True,False
S1000140,,2024-05-12,4,Tablet,Chrome,Email,/products,1,74,True,False
S1000141,11314,2024-09-15,17,Desktop,Chrome,Paid Search,/products,1,62,True,False
S1000142,,2024-06-21,7,Desktop,Safari,Social,/category,1,35,True,False
S1000143,,2024-01-07,15,Desktop,Chrome,Direct,/new-arrivals,1,23,True,False
S1000144,15645,2024-04-06,10,Tablet,Chrome,Organic Search,/products,1,29,True,False
S1000145,16318,2024-05-23,11,Desktop,Chrome,Social,/,1,50,True,False
S1000146,,2024-01-27,19,Mobile,Chrome,Direct,/category,1,117,True,False
S1000147,,2024-10-15,12,Desktop,Chrome,Organic Search,/category,2,116,False,False
S1000148,14656,2024-07-07,11,Mobile,Chrome,Referral,/,1,74,True,False
S1000149,19475,2024-10-14,11,Mobile,Edge,Email,/category,1,77,True,False
S1000150,14661,2024-10-01,21,Desktop,Chrome,Direct,/new-arrivals,1,76,True,False
S1000151,12785,2024-05-28,8,Desktop,Chrome,Organic Search,/products,1,29,True,False
S1000152,,2024-07-21,11,Mobile,Edge,Social,/new-arrivals,2,49,False,False
S1000153,,2024-01-04,19,Desktop,Edge,Direct,/category,1,48,True,False
S1000154,12068,2024-05-12,15,Desktop,Chrome,Direct,/sale,1,25,True,False
S1000155,19064,2024-01-17,11,Mobile,Safari,Social,/,1,35,True,False
S1000156,,2024-10-17,19,Tablet,Chrome,Organic Search,/category,4,430,False,False
S1000157,18573,2024-07-05,12,Desktop,Safari,Direct,/sale,1,69,True,False
S1000158,13761,2024-03-02,22,Mobile,Chrome,Paid Search,/category,1,98,True,False
S1000159,19257,2024-03-22,10,Tablet,Chrome,Organic Search,/category,1,66,True,False
S1000160,15288,2024-03-29,15,Desktop,Safari,Referral,/sale,1,98,True,False
S1000161,14466,2024-06-21,22,Mobile,Chrome,Direct,/,2,156,False,False
S1000162,14612,2024-06-07,7,Mobile,Chrome,Direct,/sale,1,23,True,False
S1000163,14468,2024-09-24,3,Desktop,Safari,Direct,/,1,35,True,False
S1000164,,2024-03-11,17,Mobile,Chrome,Paid Search,/category,1,101,True,False
S1000165,18033,2024-06-24,7,Mobile,Chrome,Organic Search,/sale,1,42,True,False
S1000166,17891,2024-06-22,7,Mobile,Chrome,Email,/sale,1,54,True,False
S1000167,16005,2024-05-10,15,Desktop,Chrome,Direct,/products,1,103,True,False
S1000168,15810,2024-01-17,8,Mobile,Chrome,Email,/,1,105,True,False
S1000169,,2024-04-28,1,Mobile,Chrome,Paid Search,/sale,1,71,True,False
S1000170,,2024-09-18,12,Mobile,Chrome,Social,/new-arrivals,3,249,False,False
S1000171,17630,2024-06-04,20,Mobile,Chrome,Email,/,1,85,True,False
S1000172,11508,2024-04-11,18,Desktop,Edge,Referral,/,2,220,False,False
S1000173,17377,2024-03-14,12,Mobile,Safari,Organic Search,/category,1,64,True,False
S1000174,,2024-08-22,10,Mobile,Chrome,Direct,/sale,1,37,True,False
S1000175,,2024-09-01,8,Mobile,Safari,Direct,/products,1,116,True,False
S1000176,,2024-09-11,7,Tablet,Chrome,Email,/sale,1,31,True,False
S1000177,,2024-09-30,15,Mobile,Firefox,Direct,/products,1,22,True,False
S1000178,,2024-10-03,14,Desktop,Chrome,Social,/new-arrivals,1,59,True,False
S1000179,,2024-06-10,17,Desktop,Chrome,Social,/sale,1,73,True,False
S1000180,10047,2024-06-22,12,Mobile,Firefox,Organic Search,/sale,1,111,True,False
S1000181,17608,2024-08-27,23,Desktop,Chrome,Organic Search,/,1,73,True,False
S1000182,,2024-07-29,18,Desktop,Chrome,Direct,/,1,85,True,False
S1000183,15260,2024-08-22,19,Desktop,Safari,Direct,/new-arrivals,1,70,True,False
S1000184,19229,2024-05-15,16,Mobile,Chrome,Organic Search,/new-arrivals,1,50,True,False
S1000185,,2024-01-14,8,Mobile,Edge,Organic Search,/,1,49,True,False
S1000186,13774,2024-06-30,14,Mobile,Chrome,Direct,/products,3,306,False,False
S1000187,14627,2024-03-09,7,Desktop,Chrome,Direct,/new-arrivals,1,95,True,False
S1000188,,2024-03-02,9,Desktop,Safari,Organic Search,/category,1,81,True,False
S1000189,,2024-05-21,15,Desktop,Firefox,Social,/category,1,30,True,False
S1000190,10754,2024-05-03,11,Desktop,Safari,Referral,/category,2,84,False,False
S1000191,19419,2024-09-08,10,Mobile,Chrome,Direct,/sale,1,64,True,False
S1000192,,2024-10-26,11,Desktop,Chrome,Organic Search,/new-arrivals,1,37,True,False
S1000193,,2024-07-25,10,Tablet,Edge,Organic Search,/,1,28,True,False
S1000194,16971,2024-04-05,14,Mobile,Chrome,Direct,/,1,37,True,False
S1000195,11986,2024-01-22,7,Desktop,Chrome,Email,/sale,1,51,True,False
S1000196,,2024-04-03,4,Mobile,Chrome,Direct,/category,1,57,True,False
S1000197,13450,2024-01-13,23,Desktop,Chrome,Direct,/,1,115,True,False
S1000198,,2024-06-08,20,Mobile,Firefox,Referral,/sale,1,55,True,False
S1000199,19121,2024-02-09,22,Desktop,Safari,Direct,/,1,113,True,False
S1000200,,2024-04-11,11,Desktop,Chrome,Direct,/new-arrivals,3,64,False,False
S1000201,18193,2024-04-26,15,Mobile,Firefox,Direct,/products,1,61,True,False
S1000202,16595,2024-06-30,19,Mobile,Firefox,Paid Search,/category,4,177,False,False
S1000203,,2024-10-23,15,Desktop,Other,Organic Search,/,1,77,True,False
S1000204,11916,2024-10-27,13,Mobile,Chrome,Organic Search,/products,1,103,True,False
S1000205,,2024-03-31,10,Mobile,Chrome,Organic Search,/sale,2,116,False,False
S1000206,18557,2024-01-16,8,Desktop,Chrome,Direct,/,1,98,True,False
S1000207,,2024-02-23,14,Tablet,Chrome,Social,/sale,1,116,True,False
S1000208,,2024-01-03,14,Mobile,Firefox,Referral,/products,2,140,False,False
S1000209,,2024-09-01,7,Desktop,Firefox,Paid Search,/new-arrivals,1,97,True,False
S1000210,,2024-07-03,21,Desktop,Chrome,Direct,/products,1,88,True,False
S1000211,14135,2024-08-05,1,Mobile,Firefox,Paid Search,/sale,1,106,True,False
S1000212,16092,2024-02-29,8,Desktop,Chrome,Paid Search,/category,1,115,True,False
S1000213,12945,2024-06-30,10,Mobile,Chrome,Email,/,1,51,True,False
S1000214,18273,2024-06-06,11,Mobile,Chrome,Organic Search,/new-arrivals,1,81,True,False
S1000215,,2024-08-15,7,Desktop,Chrome,Email,/products,1,107,True,False
S1000216,19070,2024-02-16,8,Desktop,Chrome,Direct,/category,1,109,True,False
S1000217,11512,2024-05-23,7,Mobile,Chrome,Direct,/sale,1,111,True,False
S1000218,,2024-10-21,18,Desktop,Safari,Paid Search,/,1,20,True,False
S1000219,18199,2024-02-27,16,Mobile,Chrome,Direct,/,1,118,True,False
S1000220,,2024-06-19,12,Mobile,Chrome,Paid Search,/sale,1,99,True,False
S1000221,19471,2024-04-28,6,Mobile,Chrome,Paid Search,/products,1,93,True,False
S1000222,14035,2024-07-24,9,Desktop,Chrome,Paid Search,/category,1,116,True,False
S1000223,13020,2024-05-15,3,Tablet,Chrome,Organic Search,/products,1,72,True,False
S1000224,14670,2024-03-31,18,Desktop,Chrome,Organic Search,/,1,63,True,False
S1000225,,2024-03-26,12,Desktop,Safari,Organic Search,/,1,90,True,False
S1000226,,2024-07-31,18,Mobile,Firefox,Paid Search,/products,1,114,True,False
S1000227,15508,2024-09-12,2,Desktop,Chrome,Paid Search,/new-arrivals,1,101,True,False
S1000228,,2024-06-30,16,Mobile,Chrome,Paid Search,/sale,1,63,True,False
S1000229,16911,2024-05-12,17,Mobile,Chrome,Direct,/products,1,71,True,False
S1000230,13081,2024-08-17,12,Tablet,Other,Direct,/,1,100,True,False
S1000231,,2024-06-24,21,Mobile,Chrome,Email,/new-arrivals,1,101,True,False
S1000232,,2024-05-29,7,Mobile,Chrome,Paid Search,/products,1,49,True,False
S1000233,16618,2024-09-16,15,Mobile,Chrome,Organic Search,/new-arrivals,1,115,True,False
S1000234,17779,2024-03-03,18,Desktop,Chrome,Organic Search,/category,1,110,True,False
S1000235,13246,2024-01-04,13,Desktop,Safari,Social,/,1,86,True,False
S1000236,14633,2024-03-23,14,Desktop,Chrome,Referral,/category,1,78,True,False
S1000237,10178,2024-06-09,8,Mobile,Firefox,Direct,/,1,49,True,False
S1000238,15500,2024-04-13,11,Desktop,Safari,Direct,/products,1,31,True,False
S1000239,19212,2024-07-24,10,Mobile,Safari,Organic Search,/products,2,165,False,False
S1000240,,2024-07-17,15,Mobile,Chrome,Direct,/,1,68,True,False
S1000241,15091,2024-04-02,17,Mobile,Chrome,Direct,/new-arrivals,1,40,True,False
S1000242,,2024-06-14,20,Mobile,Chrome,Direct,/new-arrivals,1,28,True,False
S1000243,12307,2024-01-13,21,Mobile,Chrome,Email,/,1,66,True,False
S1000244,11121,2024-03-28,18,Mobile,Chrome,Direct,/,1,95,True,False
S1000245,17209,2024-09-04,10,Desktop,Chrome,Paid Search,/category,1,62,True,False
S1000246,16622,2024-02-05,9,Desktop,Firefox,Social,/new-arrivals,1,28,True,False
S1000247,,2024-02-23,16,Desktop,Safari,Organic Search,/new-arrivals,1,23,True,False
S1000248,11440,2024-01-17,10,Mobile,Chrome,Direct,/new-arrivals,1,28,True,False
S1000249,14834,2024-10-25,14,Desktop,Safari,Organic Search,/,1,74,True,False
S1000250,,2024-10-16,21,Mobile,Firefox,Direct,/new-arrivals,2,132,False,False
S1000251,15723,2024-10-11,8,Mobile,Safari,Social,/category,2,162,False,False
S1000252,16619,2024-04-12,14,Mobile,Chrome,Direct,/category,1,23,True,False
S1000253,11071,2024-07-15,18,Mobile,Chrome,Organic Search,/sale,1,102,True,False
S1000254,,2024-07-24,11,Mobile,Chrome,Organic Search,/,1,69,True,False
S1000255,,2024-06-18,6,Mobile,Chrome,Organic Search,/new-arrivals,1,39,True,False
S1000256,12218,2024-05-11,14,Desktop,Chrome,Organic Search,/,2,158,False,False
S1000257,11971,2024-02-11,14,Desktop,Firefox,Direct,/products,1,50,True,False
S1000258,11491,2024-06-14,18,Tablet,Chrome,Direct,/products,1,32,True,True
S1000259,19521,2024-09-09,13,Mobile,Safari,Direct,/category,1,78,True,False
S1000260,19938,2024-07-10,14,Mobile,Firefox,Organic Search,/sale,1,86,True,False
S1000261,,2024-07-17,17,Tablet,Chrome,Direct,/category,1,103,True,False
S1000262,13847,2024-09-22,7,Desktop,Chrome,Direct,/sale,1,48,True,False
S1000263,17097,2024-01-17,21,Mobile,Safari,Social,/products,1,114,True,False
S1000264,,2024-02-16,18,Mobile,Safari,Organic Search,/category,1,103,True,False
S1000265,,2024-07-03,13,Tablet,Chrome,Organic Search,/sale,1,116,True,False
S1000266,,2024-05-04,8,Desktop,Chrome,Social,/sale,1,64,True,False
S1000267,10806,2024-01-13,19,Mobile,Safari,Organic Search,/products,1,27,True,False
S1000268,17182,2024-07-04,8,Mobile,Chrome,Referral,/new-arrivals,2,190,False,False
S1000269,10507,2024-07-25,14,Desktop,Chrome,Direct,/,1,38,True,False
S1000270,,2024-05-28,20,Tablet,Safari,Organic Search,/products,1,109,True,False
S1000271,,2024-08-30,11,Mobile,Other,Email,/,1,95,True,False
S1000272,,2024-09-24,10,Mobile,Safari,Direct,/new-arrivals,5,140,False,False
S1000273,13203,2024-09-26,18,Mobile,Safari,Direct,/,1,119,True,False
S1000274,,2024-04-28,20,Mobile,Safari,Organic Search,/,2,203,False,False
S1000275,16922,2024-02-25,10,Desktop,Chrome,Organic Search,/products,1,49,True,False
S1000276,,2024-09-05,17,Mobile,Edge,Organic Search,/new-arrivals,2,99,False,False
S1000277,,2024-04-13,19,Desktop,Safari,Direct,/sale,1,49,True,False
S1000278,15538,2024-06-16,23,Mobile,Firefox,Paid Search,/products,1,41,True,False
S1000279,,2024-05-04,12,Desktop,Chrome,Email,/sale,1,93,True,False
S1000280,,2024-03-09,3,Mobile,Edge,Direct,/category,1,28,True,False
S1000281,,2024-08-09,16,Desktop,Chrome,Paid Search,/,2,173,False,False
S1000282,,2024-04-29,0,Desktop,Chrome,Paid Search,/category,1,85,True,False
S1000283,15324,2024-08-13,13,Tablet,Chrome,Referral,/sale,1,23,True,False
S1000284,,2024-09-08,14,Desktop,Chrome,Social,/category,1,71,True,False
S1000285,17475,2024-09-27,19,Mobile,Chrome,Paid Search,/products,2,98,False,False
S1000286,13250,2024-01-18,10,Mobile,Chrome,Direct,/new-arrivals,1,38,True,False
S1000287,13277,2024-07-19,23,Desktop,Chrome,Direct,/new-arrivals,1,87,True,False
S1000288,,2024-09-29,9,Desktop,Safari,Direct,/sale,1,94,True,False
S1000289,16142,2024-02-07,19,Mobile,Firefox,Direct,/new-arrivals,1,76,True,False
S1000290,,2024-08-15,16,Desktop,Chrome,Organic Search,/sale,1,97,True,False
S1000291,13252,2024-02-13,17,Mobile,Chrome,Direct,/category,1,66,True,False
S1000292,15461,2024-10-27,20,Desktop,Firefox,Organic Search,/,1,57,True,False
S1000293,19112,2024-01-06,7,Desktop,Firefox,Organic Search,/new-arrivals,1,52,True,False
S1000294,,2024-04-30,8,Desktop,Safari,Direct,/sale,1,90,True,False
S1000295,15466,2024-05-25,12,Mobile,Chrome,Direct,/category,1,93,True,False
S1000296,12553,2024-04-25,16,Mobile,Chrome,Direct,/sale,1,87,True,False
S1000297,16888,2024-09-10,14,Mobile,Chrome,Social,/category,2,99,False,False
S1000298,10206,2024-09-08,3,Mobile,Safari,Direct,/new-arrivals,1,35,True,False
S1000299,10963,2024-07-20,0,Desktop,Chrome,Organic Search,/category,1,117,True,False
S1000300,,2024-01-13,8,Mobile,Chrome,Paid Search,/sale,3,245,False,False
S1000301,,2024-08-24,13,Mobile,Chrome,Organic Search,/,1,105,True,False
S1000302,,2024-01-01,10,Mobile,Chrome,Direct,/,1,70,True,False
S1000303,12374,2024-06-13,19,Mobile,Chrome,Organic Search,/,1,74,True,False
S1000304,,2024-04-23,16,Desktop,Firefox,Paid Search,/sale,1,58,True,False
S1000305,10840,2024-06-05,11,Desktop,Chrome,Paid Search,/category,1,100,True,False
S1000306,10069,2024-08-04,10,Desktop,Chrome,Referral,/new-arrivals,1,43,True,False
S1000307,15045,2024-10-04,21,Desktop,Safari,Social,/products,1,104,True,False
S1000308,14898,2024-08-15,20,Mobile,Chrome,Direct,/,1,81,True,False
S1000309,14695,2024-09-20,7,Mobile,Chrome,Referral,/,1,90,True,False
S1000310,19275,2024-03-05,10,Mobile,Chrome,Direct,/sale,1,57,True,False
S1000311,19271,2024-06-15,22,Desktop,Chrome,Direct,/,1,68,True,False
S1000312,,2024-06-12,21,Mobile,Chrome,Social,/new-arrivals,1,105,True,False
S1000313,19589,2024-09-20,9,Mobile,Firefox,Direct,/new-arrivals,3,314,False,False
S1000314,,2024-06-26,8,Desktop,Edge,Direct,/,1,45,True,False
S1000315,13444,2024-06-05,16,Mobile,Firefox,Direct,/new-arrivals,1,91,True,False
S1000316,10199,2024-07-03,7,Desktop,Firefox,Email,/,1,78,True,True
S1000317,,2024-10-20,17,Mobile,Chrome,Paid Search,/,1,100,True,False
S1000318,15195,2024-02-01,6,Desktop,Edge,Paid Search,/sale,1,49,True,False
S1000319,12444,2024-10-29,11,Desktop,Safari,Email,/new-arrivals,1,56,True,False
S1000320,10992,2024-10-02,21,Tablet,Safari,Direct,/products,3,254,False,False
S1000321,10303,2024-09-04,10,Mobile,Chrome,Organic Search,/products,1,23,True,False
S1000322,18628,2024-06-05,10,Mobile,Chrome,Organic Search,/new-arrivals,1,40,True,False
S1000323,,2024-06-23,8,Mobile,Chrome,Paid Search,/sale,14,1127,False,False
S1000324,10770,2024-03-11,9,Desktop,Chrome,Organic Search,/,1,115,True,False
