ticket_id,customer_id,created_date,category,priority,status,resolved_date,resolution_hours,satisfaction_score,agent_id
TKT100045,19500,2024-06-20 00:00:00,Product Query,Medium,Resolved,2024-06-21 14:00:00,38,,AGT010
TKT100046,11008,2024-10-29 00:00:00,Other,Low,Closed,2024-11-03 00:00:00,120,1,AGT002
TKT100047,13693,2024-01-15 00:00:00,Returns,Medium,Open,,,,AGT010
TKT100048,12677,2024-06-23 00:00:00,Shipping,Low,Closed,2024-06-27 13:00:00,109,4,AGT015
TKT100049,10483,2024-08-31 00:00:00,Payment,Urgent,Closed,2024-08-31 05:00:00,5,1,AGT005
TKT100050,11599,2024-09-24 00:00:00,Product Query,High,Open,,,,AGT014
TKT100051,17756,2024-06-21 00:00:00,Product Query,High,Resolved,2024-06-21 04:00:00,4,,AGT014
TKT100052,19036,2024-09-19 00:00:00,Product Query,Low,Resolved,2024-09-20 21:00:00,45,,AGT014
TKT100053,18269,2024-08-30 00:00:00,Technical,High,Closed,2024-08-30 18:00:00,18,2,AGT007
TKT100054,17494,2024-10-17 00:00:00,Order Issue,Medium,Resolved,2024-10-18 17:00:00,41,,AGT004
TKT100055,10990,2024-09-22 00:00:00,Payment,High,Closed,2024-09-22 09:00:00,9,2,AGT019
TKT100056,15057,2024-03-10 00:00:00,Product Query,High,Closed,2024-03-10 19:00:00,19,2,AGT003
TKT100057,10703,2024-08-21 00:00:00,Returns,Medium,Closed,2024-08-21 19:00:00,19,3,AGT004
TKT100058,17665,2024-06-02 00:00:00,Product Query,Medium,Resolved,2024-06-03 18:00:00,42,,AGT008
TKT100059,14594,2024-10-21 00:00:00,Payment,Medium,Closed,2024-10-22 14:00:00,38,4,AGT013
TKT100060,11669,2024-03-12 00:00:00,Product Query,Low,Closed,2024-03-14 18:00:00,66,3,AGT011
TKT100061,12214,2024-05-31 00:00:00,Payment,Medium,Closed,2024-05-31 13:00:00,13,5,AGT014
TKT100062,15385,2024-01-28 00:00:00,Payment,Medium,Closed,2024-01-29 07:00:00,31,2,AGT012
TKT100063,16477,2024-08-14 00:00:00,Returns,Low,Resolved,2024-08-19 03:00:00,123,,AGT010
TKT100064,15573,2024-03-12 00:00:00,Technical,High,In Progress,,,,AGT009
TKT100065,18794,2024-08-26 00:00:00,Other,Low,Resolved,2024-08-30 22:00:00,118,,AGT003
TKT100066,16082,2024-10-22 00:00:00,Order Issue,Medium,Resolved,2024-10-24 22:00:00,70,,AGT014
TKT100067,16556,2024-08-22 00:00:00,Returns,Medium,Resolved,2024-08-23 23:00:00,47,,AGT017
TKT100068,19140,2024-10-23 00:00:00,Product Query,High,Resolved,2024-10-23 08:00:00,8,,AGT005
TKT100069,13279,2024-10-09 00:00:00,Payment,Low,Resolved,2024-10-14 13:00:00,133,,AGT020
TKT100070,17417,2024-08-12 00:00:00,Shipping,Medium,Closed,2024-08-14 01:00:00,49,1,AGT012
TKT100071,13924,2024-02-27 00:00:00,Returns,High,Closed,2024-02-27 21:00:00,21,5,AGT017
TKT100072,17826,2024-01-03 00:00:00,Product Query,Low,Resolved,2024-01-05 07:00:00,55,,AGT019
TKT100073,11882,2024-02-28 00:00:00,Product Query,Medium,Open,,,,AGT004
TKT100074,15115,2024-06-29 00:00:00,Returns,Medium,Resolved,2024-06-30 21:00:00,45,,AGT003
TKT100075,18808,2024-05-06 00:00:00,Payment,Medium,Open,,,,AGT002
TKT100076,12194,2024-09-11 00:00:00,Shipping,Low,Resolved,2024-09-13 03:00:00,51,,AGT013
TKT100077,11246,2024-03-09 00:00:00,Technical,High,Resolved,2024-03-09 23:00:00,23,,AGT011
TKT100078,13601,2024-02-20 00:00:00,Order Issue,Medium,Closed,2024-02-22 10:00:00,58,3,AGT006
TKT100079,15037,2024-10-01 00:00:00,Payment,Low,Resolved,2024-10-03 01:00:00,49,,AGT012
TKT100080,14036,2024-08-21 00:00:00,Returns,High,Closed,2024-08-21 18:00:00,18,3,AGT009
TKT100081,19459,2024-02-23 00:00:00,Shipping,High,Closed,2024-02-23 13:00:00,13,4,AGT017
TKT100082,17279,2024-01-25 00:00:00,Product Query,Medium,Resolved,2024-01-25 23:00:00,23,,AGT013
TKT100083,14987,2024-02-25 00:00:00,Payment,Low,Resolved,2024-02-26 10:00:00,34,,AGT006
TKT100084,15348,2024-01-27 00:00:00,Order Issue,Medium,Resolved,2024-01-28 13:00:00,37,,AGT004
TKT100085,15136,2024-04-25 00:00:00,Order Issue,Low,Closed,2024-04-27 13:00:00,61,4,AGT007
TKT100086,17841,2024-02-01 00:00:00,Shipping,High,Resolved,2024-02-01 10:00:00,10,,AGT019
TKT100087,18926,2024-04-12 00:00:00,Returns,High,Closed,2024-04-12 11:00:00,11,5,AGT008
TKT100088,14171,2024-01-14 00:00:00,Payment,High,Open,,,,AGT011
TKT100089,17267,2024-04-07 00:00:00,Payment,Medium,In Progress,,,,AGT007
TKT100090,15402,2024-04-13 00:00:00,Other,High,Closed,2024-04-13 04:00:00,4,2,AGT007
TKT100091,11676,2024-08-25 00:00:00,Product Query,Low,Closed,2024-08-27 23:00:00,71,4,AGT016
TKT100092,12249,2024-07-13 00:00:00,Returns,Medium,Resolved,2024-07-15 19:00:00,67,,AGT006
TKT100093,17756,2024-02-28 00:00:00,Technical,Urgent,Closed,2024-02-28 02:00:00,2,2,AGT018
TKT100094,16917,2024-08-07 00:00:00,Product Query,Low,Resolved,2024-08-09 21:00:00,69,,AGT009
TKT100095,13855,2024-08-14 00:00:00,Product Query,High,Open,,,,AGT008
TKT100096,11656,2024-07-10 00:00:00,Order Issue,Medium,In Progress,,,,AGT005
TKT100097,17462,2024-02-16 00:00:00,Product Query,Low,Closed,2024-02-21 20:00:00,140,5,AGT010
TKT100098,12548,2024-07-17 00:00:00,Returns,Medium,Closed,2024-07-19 20:00:00,68,4,AGT015
TKT100099,18753,2024-08-04 00:00:00,Returns,Medium,Resolved,2024-08-04 19:00:00,19,,AGT015
TKT100100,12068,2024-01-31 00:00:00,Order Issue,High,Closed,2024-01-31 18:00:00,18,4,AGT011
TKT100101,18971,2024-05-22 00:00:00,Technical,Medium,Resolved,2024-05-22 18:00:00,18,,AGT016
TKT100102,19912,2024-08-28 00:00:00,Shipping,Low,In Progress,,,,AGT007
TKT100103,10571,2024-01-30 00:00:00,Technical,Low,Open,,,,AGT013
TKT100104,17514,2024-03-18 00:00:00,Other,Medium,Closed,2024-03-20 08:00:00,56,4,AGT009
TKT100105,19118,2024-01-30 00:00:00,Payment,Low,In Progress,,,,AGT005
TKT100106,17332,2024-03-21 00:00:00,Order Issue,Medium,Closed,2024-03-22 03:00:00,27,3,AGT017
TKT100107,13698,2024-05-01 00:00:00,Product Query,High,Closed,2024-05-01 07:00:00,7,3,AGT007
TKT100108,11089,2024-02-18 00:00:00,Returns,Low,Closed,2024-02-22 01:00:00,97,1,AGT015
TKT100109,18550,2024-08-15 00:00:00,Payment,Medium,Resolved,2024-08-17 00:00:00,48,,AGT006
TKT100110,13924,2024-07-20 00:00:00,Order Issue,Medium,Resolved,2024-07-22 09:00:00,57,,AGT020
TKT100111,16189,2024-08-26 00:00:00,Order Issue,Low,Resolved,2024-08-28 13:00:00,61,,AGT001
TKT100112,17323,2024-07-31 00:00:00,Returns,Low,Resolved,2024-08-01 01:00:00,25,,AGT019
TKT100113,19320,2024-02-10 00:00:00,Product Query,Medium,Resolved,2024-02-12 10:00:00,58,,AGT009
TKT100114,18909,2024-10-21 00:00:00,Shipping,Medium,Closed,2024-10-22 21:00:00,45,3,AGT020
TKT100115,14931,2024-10-15 00:00:00,Order Issue,Low,In Progress,,,,AGT020
TKT100116,16387,2024-06-21 00:00:00,Returns,High,Closed,2024-06-21 11:00:00,11,4,AGT009
TKT100117,15392,2024-05-31 00:00:00,Product Query,Medium,Resolved,2024-06-01 07:00:00,31,,AGT011
TKT100118,18466,2024-05-07 00:00:00,Product Query,Medium,Closed,2024-05-07 21:00:00,21,3,AGT019
TKT100119,12914,2024-07-30 00:00:00,Returns,Low,Resolved,2024-08-03 15:00:00,111,,AGT017
TKT100120,15899,2024-09-05 00:00:00,Shipping,Medium,Closed,2024-09-07 23:00:00,71,2,AGT013
TKT100121,19118,2024-05-07 00:00:00,Order Issue,Medium,Resolved,2024-05-09 02:00:00,50,,AGT010
TKT100122,16991,2024-08-17 00:00:00,Shipping,Low,Closed,2024-08-19 00:00:00,48,1,AGT016
TKT100123,15670,2024-10-30 00:00:00,Order Issue,Medium,Open,,,,AGT009
TKT100124,15473,2024-07-01 00:00:00,Returns,Medium,Resolved,2024-07-03 06:00:00,54,,AGT020
TKT100125,19997,2024-03-11 00:00:00,Technical,Medium,Resolved,2024-03-11 20:00:00,20,,AGT015
TKT100126,11660,2024-09-09 00:00:00,Shipping,Low,Closed,2024-09-14 03:00:00,123,5,AGT009
TKT100127,13855,2024-08-23 00:00:00,Shipping,Low,Closed,2024-08-28 11:00:00,131,1,AGT002
TKT100128,10122,2024-04-24 00:00:00,Product Query,Medium,Resolved,2024-04-26 17:00:00,65,,AGT006
TKT100129,17832,2024-01-30 00:00:00,Order Issue,High,Closed,2024-01-30 04:00:00,4,4,AGT016
TKT100130,14751,2024-01-26 00:00:00,Returns,Low,Closed,2024-01-27 05:00:00,29,3,AGT017
TKT100131,18850,2024-05-28 00:00:00,Order Issue,Low,Resolved,2024-06-02 06:00:00,126,,AGT020
TKT100132,17787,2024-03-08 00:00:00,Payment,Medium,In Progress,,,,AGT007
TKT100133,12886,2024-03-19 00:00:00,Returns,Low,Closed,2024-03-23 05:00:00,101,3,AGT001
TKT100134,10742,2024-03-26 00:00:00,Product Query,Medium,Closed,2024-03-28 09:00:00,57,1,AGT008
TKT100135,13615,2024-01-28 00:00:00,Returns,Low,In Progress,,,,AGT012
TKT100136,15475,2024-08-14 00:00:00,Product Query,High,Resolved,2024-08-14 11:00:00,11,,AGT017
TKT100137,12969,2024-03-10 00:00:00,Order Issue,Low,Resolved,2024-03-14 07:00:00,103,,AGT017
TKT100138,13070,2024-02-09 00:00:00,Order Issue,High,In Progress,,,,AGT018
TKT100139,15719,2024-09-20 00:00:00,Payment,Low,Open,,,,AGT015
TKT100140,12030,2024-06-28 00:00:00,Order Issue,Low,Closed,2024-07-03 15:00:00,135,3,AGT005
TKT100141,16133,2024-05-02 00:00:00,Order Issue,Medium,In Progress,,,,AGT018
TKT100142,10752,2024-02-08 00:00:00,Payment,High,In Progress,,,,AGT006
TKT100143,17531,2024-03-16 00:00:00,Order Issue,Low,Resolved,2024-03-18 07:00:00,55,,AGT020
TKT100144,14282,2024-07-19 00:00:00,Product Query,Low,In Progress,,,,AGT002
TKT100145,19430,2024-10-06 00:00:00,Returns,Urgent,Closed,2024-10-06 03:00:00,3,2,AGT006
TKT100146,15948,2024-09-27 00:00:00,Technical,Low,In Progress,,,,AGT005
TKT100147,12522,2024-08-23 00:00:00,Payment,High,Resolved,2024-08-23 22:00:00,22,,AGT001
TKT100148,12964,2024-02-22 00:00:00,Returns,Medium,In Progress,,,,AGT014
TKT100149,12194,2024-10-10 00:00:00,Product Query,Medium,Closed,2024-10-11 14:00:00,38,2,AGT012
TKT100150,18455,2024-10-24 00:00:00,Shipping,High,In Progress,,,,AGT009
TKT100151,15284,2024-10-17 00:00:00,Payment,Low,Closed,2024-10-22 04:00:00,124,5,AGT016
TKT100152,19706,2024-04-12 00:00:00,Returns,Medium,Closed,2024-04-12 13:00:00,13,1,AGT020
TKT100153,18825,2024-04-06 00:00:00,Shipping,High,Resolved,2024-04-06 16:00:00,16,,AGT014
TKT100154,13149,2024-04-16 00:00:00,Payment,Medium,Closed,2024-04-16 19:00:00,19,4,AGT017
TKT100155,19201,2024-01-26 00:00:00,Returns,Medium,Closed,2024-01-28 22:00:00,70,4,AGT006
TKT100156,16133,2024-08-24 00:00:00,Product Query,High,Closed,2024-08-24 18:00:00,18,1,AGT018
TKT100157,16982,2024-01-04 00:00:00,Order Issue,Medium,Closed,2024-01-06 16:00:00,64,2,AGT020
TKT100158,16847,2024-01-06 00:00:00,Order Issue,Medium,Closed,2024-01-07 09:00:00,33,3,AGT004
TKT100159,15434,2024-06-11 00:00:00,Returns,Medium,Closed,2024-06-11 17:00:00,17,2,AGT007
TKT100160,12576,2024-04-09 00:00:00,Order Issue,Low,Closed,2024-04-11 13:00:00,61,5,AGT016
TKT100161,17514,2024-03-11 00:00:00,Product Query,Low,Closed,2024-03-15 23:00:00,119,4,AGT010
TKT100162,16308,2024-02-28 00:00:00,Other,Low,Closed,2024-03-01 16:00:00,64,2,AGT016
TKT100163,16035,2024-02-12 00:00:00,Payment,High,Resolved,2024-02-12 06:00:00,6,,AGT007
TKT100164,12997,2024-01-31 00:00:00,Shipping,Low,Resolved,2024-02-04 13:00:00,109,,AGT013
TKT100165,16493,2024-01-21 00:00:00,Order Issue,Medium,Closed,2024-01-21 23:00:00,23,2,AGT003
TKT100166,17627,2024-03-23 00:00:00,Product Query,Medium,Closed,2024-03-24 20:00:00,44,1,AGT010
TKT100167,11413,2024-02-02 00:00:00,Other,Low,In Progress,,,,AGT004
TKT100168,11410,2024-04-28 00:00:00,Payment,Medium,Open,,,,AGT017
TKT100169,15941,2024-08-08 00:00:00,Order Issue,Medium,Closed,2024-08-10 15:00:00,63,4,AGT010
TKT100170,19336,2024-10-11 00:00:00,Product Query,Low,Resolved,2024-10-15 20:00:00,116,,AGT016
TKT100171,14783,2024-06-21 00:00:00,Order Issue,Medium,Resolved,2024-06-23 04:00:00,52,,AGT020
TKT100172,15100,2024-01-12 00:00:00,Technical,Low,Closed,2024-01-14 19:00:00,67,2,AGT018
TKT100173,11008,2024-08-06 00:00:00,Order Issue,Low,Resolved,2024-08-11 19:00:00,139,,AGT020
TKT100174,13638,2024-10-02 00:00:00,Shipping,Medium,Closed,2024-10-04 01:00:00,49,5,AGT019
TKT100175,15895,2024-08-12 00:00:00,Order Issue,High,Resolved,2024-08-12 06:00:00,6,,AGT003
TKT100176,10433,2024-05-11 00:00:00,Order Issue,Low,Closed,2024-05-14 10:00:00,82,4,AGT009
TKT100177,19062,2024-01-26 00:00:00,Product Query,High,Resolved,2024-01-26 23:00:00,23,,AGT013
TKT100178,15507,2024-09-24 00:00:00,Returns,Urgent,Closed,2024-09-24 02:00:00,2,1,AGT015
TKT100179,10448,2024-02-09 00:00:00,Returns,Medium,Resolved,2024-02-10 19:00:00,43,,AGT012
TKT100180,12815,2024-08-25 00:00:00,Other,Medium,Open,,,,AGT001
TKT100181,14382,2024-03-16 00:00:00,Order Issue,High,Closed,2024-03-16 06:00:00,6,2,AGT009
TKT100182,17820,2024-05-08 00:00:00,Order Issue,Low,Open,,,,AGT002
TKT100183,11027,2024-04-25 00:00:00,Order Issue,Low,Resolved,2024-04-29 12:00:00,108,,AGT005
TKT100184,19568,2024-02-11 00:00:00,Product Query,Medium,Closed,2024-02-12 08:00:00,32,3,AGT020
TKT100185,16159,2024-06-25 00:00:00,Returns,Low,Closed,2024-06-28 08:00:00,80,1,AGT017
TKT100186,18858,2024-03-27 00:00:00,Payment,High,Resolved,2024-03-27 16:00:00,16,,AGT018
TKT100187,14581,2024-06-21 00:00:00,Product Query,Low,Closed,2024-06-24 00:00:00,72,5,AGT003
TKT100188,10563,2024-06-30 00:00:00,Shipping,Low,Resolved,2024-07-04 22:00:00,118,,AGT006
TKT100189,15218,2024-07-20 00:00:00,Order Issue,Medium,Closed,2024-07-20 16:00:00,16,1,AGT010
TKT100190,16113,2024-06-08 00:00:00,Shipping,Low,In Progress,,,,AGT012
TKT100191,17444,2024-10-22 00:00:00,Shipping,Medium,Resolved,2024-10-24 03:00:00,51,,AGT010
TKT100192,12172,2024-03-21 00:00:00,Product Query,Medium,Resolved,2024-03-21 22:00:00,22,,AGT011
TKT100193,11484,2024-08-26 00:00:00,Product Query,Urgent,Resolved,2024-08-26 02:00:00,2,,AGT005
TKT100194,10016,2024-10-26 00:00:00,Product Query,High,Open,,,,AGT014
TKT100195,11004,2024-10-02 00:00:00,Shipping,Low,Resolved,2024-10-07 11:00:00,131,,AGT001
TKT100196,19672,2024-09-24 00:00:00,Product Query,High,Closed,2024-09-24 10:00:00,10,3,AGT007
TKT100197,19098,2024-09-21 00:00:00,Order Issue,High,In Progress,,,,AGT008
TKT100198,11939,2024-07-19 00:00:00,Product Query,Low,Resolved,2024-07-24 00:00:00,120,,AGT016
TKT100199,12562,2024-04-30 00:00:00,Order Issue,Medium,Closed,2024-05-02 07:00:00,55,1,AGT016
TKT100200,13079,2024-06-27 00:00:00,Order Issue,High,In Progress,,,,AGT017
TKT100201,10917,2024-07-01 00:00:00,Product Query,Low,Closed,2024-07-04 23:00:00,95,3,AGT004
TKT100202,17489,2024-02-25 00:00:00,Returns,High,Resolved,2024-02-25 10:00:00,10,,AGT005
TKT100203,12464,2024-07-11 00:00:00,Product Query,Medium,Resolved,2024-07-12 11:00:00,35,,AGT015
TKT100204,12531,2024-02-21 00:00:00,Product Query,Medium,Resolved,2024-02-22 20:00:00,44,,AGT001
TKT100205,18189,2024-06-22 00:00:00,Other,Medium,Closed,2024-06-24 11:00:00,59,4,AGT010
TKT100206,19087,2024-03-13 00:00:00,Returns,Medium,Open,,,,AGT017
TKT100207,12766,2024-07-01 00:00:00,Product Query,High,Resolved,2024-07-01 16:00:00,16,,AGT011
TKT100208,14883,2024-07-31 00:00:00,Payment,Low,Resolved,2024-08-02 20:00:00,68,,AGT015
TKT100209,11985,2024-03-01 00:00:00,Other,Medium,Closed,2024-03-02 05:00:00,29,1,AGT014
TKT100210,14068,2024-04-15 00:00:00,Returns,Low,Resolved,2024-04-18 10:00:00,82,,AGT008
TKT100211,13350,2024-01-14 00:00:00,Returns,Medium,In Progress,,,,AGT004
TKT100212,16477,2024-01-02 00:00:00,Product Query,High,Open,,,,AGT009
TKT100213,14878,2024-06-06 00:00:00,Shipping,Low,Closed,2024-06-09 09:00:00,81,5,AGT006
TKT100214,16605,2024-04-13 00:00:00,Other,Medium,Resolved,2024-04-15 05:00:00,53,,AGT017
TKT100215,14333,2024-09-24 00:00:00,Order Issue,Low,Resolved,2024-09-25 01:00:00,25,,AGT003
TKT100216,13511,2024-05-02 00:00:00,Product Query,Low,Resolved,2024-05-03 19:00:00,43,,AGT012
TKT100217,16614,2024-04-06 00:00:00,Product Query,Low,Resolved,2024-04-11 11:00:00,131,,AGT019
TKT100218,14574,2024-06-23 00:00:00,Returns,Medium,Resolved,2024-06-24 01:00:00,25,,AGT019
TKT100219,18746,2024-07-20 00:00:00,Technical,Medium,In Progress,,,,AGT002
TKT100220,18856,2024-03-02 00:00:00,Order Issue,Medium,Open,,,,AGT009
TKT100221,12656,2024-03-18 00:00:00,Returns,High,Resolved,2024-03-18 21:00:00,21,,AGT006
TKT100222,14874,2024-04-26 00:00:00,Payment,High,In Progress,,,,AGT006
TKT100223,13825,2024-02-09 00:00:00,Returns,Medium,Resolved,2024-02-10 21:00:00,45,,AGT004
TKT100224,14500,2024-07-17 00:00:00,Order Issue,Medium,Closed,2024-07-18 23:00:00,47,2,AGT001
TKT100225,17115,2024-09-26 00:00:00,Returns,Medium,Resolved,2024-09-28 14:00:00,62,,AGT003
TKT100226,17871,2024-03-04 00:00:00,Order Issue,Low,Closed,2024-03-06 05:00:00,53,4,AGT004
TKT100227,12511,2024-01-09 00:00:00,Product Query,Medium,Closed,2024-01-11 23:00:00,71,1,AGT004
TKT100228,12199,2024-03-12 00:00:00,Order Issue,High,In Progress,,,,AGT018
TKT100229,16082,2024-08-11 00:00:00,Order Issue,Medium,Closed,2024-08-13 00:00:00,48,1,AGT014
TKT100230,11898,2024-08-16 00:00:00,Payment,High,In Progress,,,,AGT008
TKT100231,10483,2024-02-11 00:00:00,Other,Low,In Progress,,,,AGT008
TKT100232,13620,2024-10-13 00:00:00,Product Query,Medium,Closed,2024-10-15 23:00:00,71,2,AGT006
TKT100233,16998,2024-06-14 00:00:00,Payment,High,Resolved,2024-06-14 18:00:00,18,,AGT008
TKT100234,10078,2024-03-01 00:00:00,Order Issue,Medium,Closed,2024-03-02 08:00:00,32,5,AGT007
TKT100235,14835,2024-06-30 00:00:00,Returns,Low,Closed,2024-07-01 02:00:00,26,4,AGT004
TKT100236,11821,2024-06-09 00:00:00,Payment,High,Resolved,2024-06-09 08:00:00,8,,AGT002
TKT100237,17404,2024-10-05 00:00:00,Payment,Medium,Resolved,2024-10-06 10:00:00,34,,AGT007
TKT100238,17097,2024-09-23 00:00:00,Product Query,Medium,Closed,2024-09-25 02:00:00,50,1,AGT006
TKT100239,13825,2024-07-16 00:00:00,Product Query,Low,In Progress,,,,AGT001
TKT100240,10376,2024-09-26 00:00:00,Returns,Medium,Closed,2024-09-28 17:00:00,65,2,AGT011
TKT100241,13699,2024-05-27 00:00:00,Technical,Medium,Closed,2024-05-28 17:00:00,41,5,AGT003
TKT100242,17231,2024-01-11 00:00:00,Product Query,Medium,In Progress,,,,AGT009
TKT100243,11495,2024-01-13 00:00:00,Order Issue,Medium,In Progress,,,,AGT016
TKT100244,14683,2024-06-07 00:00:00,Returns,Low,In Progress,,,,AGT020
TKT100245,18753,2024-08-01 00:00:00,Product Query,Medium,Resolved,2024-08-03 17:00:00,65,,AGT008
TKT100246,10997,2024-03-22 00:00:00,Payment,Low,Resolved,2024-03-27 20:00:00,140,,AGT005
TKT100247,12690,2024-09-26 00:00:00,Order Issue,High,Closed,2024-09-26 23:00:00,23,4,AGT012
TKT100248,18632,2024-03-24 00:00:00,Payment,Medium,Resolved,2024-03-24 13:00:00,13,,AGT001
TKT100249,12576,2024-05-06 00:00:00,Order Issue,Medium,Closed,2024-05-08 00:00:00,48,1,AGT020
TKT100250,15565,2024-01-20 00:00:00,Other,Medium,Closed,2024-01-22 23:00:00,71,4,AGT008
TKT100251,19970,2024-05-31 00:00:00,Other,Medium,Closed,2024-06-02 16:00:00,64,5,AGT005
TKT100252,10017,2024-03-23 00:00:00,Returns,Medium,Closed,2024-03-23 15:00:00,15,2,AGT018
TKT100253,16879,2024-02-01 00:00:00,Shipping,High,Closed,2024-02-01 18:00:00,18,1,AGT014
TKT100254,16035,2024-06-17 00:00:00,Other,Medium,Closed,2024-06-18 18:00:00,42,5,AGT014
TKT100255,11056,2024-02-22 00:00:00,Product Query,Low,Resolved,2024-02-23 16:00:00,40,,AGT004
TKT100256,11049,2024-05-28 00:00:00,Product Query,Medium,In Progress,,,,AGT016
TKT100257,17251,2024-02-23 00:00:00,Product Query,High,Open,,,,AGT002
TKT100258,16982,2024-04-09 00:00:00,Product Query,Medium,Resolved,2024-04-10 21:00:00,45,,AGT006
TKT100259,16483,2024-01-22 00:00:00,Product Query,Low,Closed,2024-01-27 18:00:00,138,2,AGT003
TKT100260,15180,2024-05-13 00:00:00,Payment,Low,Open,,,,AGT011
TKT100261,16446,2024-09-12 00:00:00,Returns,High,Closed,2024-09-12 21:00:00,21,1,AGT017
TKT100262,18347,2024-10-23 00:00:00,Returns,Medium,Open,,,,AGT005
